ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
26	@	FRANKFURT	@	78009	@	Goethe Uni Frankfurt	@	Goethe-Corona-Fonds von Goethe-Universität & Universitätsklinikum Frankfurt	@	https://www.betterplace.org/de/projects/78009-goethe-corona-fonds-von-goethe-universitaet-universitaetsklinikum-frankfurt	@	3	@		@		@		@	FRANKFURT
27	@		@	61801	@	Kinder- & Jugendhospizdienst Frankfurt/Rhein-Main	@	Unterstützung des Kinder- und Jugendhospizdienst AKHD Frankfurt/Rhein-Main	@	https://www.betterplace.org/de/projects/61801-unterstuetzung-des-kinder-und-jugendhospizdienst-akhd-frankfurt-rhein-main	@	3	@		@		@		@	FRANKFURT
28	@		@	11132	@	MW Malteser Werke gemeinnützige GmbH	@	Malteser Suchthilfe Frankfurt a.M.	@	https://www.betterplace.org/de/projects/11132-malteser-suchthilfe-frankfurt-a-m	@	3	@		@		@		@	FRANKFURT
29	@		@	61859	@	Hilfe für krebskranke Kinder Frankfurt e.V	@	Sport für krebskranke Kinder und Jugendliche	@	https://www.betterplace.org/de/projects/61859-sport-fuer-krebskranke-kinder-und-jugendliche/opinions#ppp-sticky-anchor	@	3	@		@		@		@	FRANKFURT
30	@		@	48584	@	Stadttaubenprojekt Frankfurt	@	Stadttaubenprojekt Frankfurt: Arbeitsplätze und das Projekt erhalten!	@	https://www.betterplace.org/de/projects/48584-stadttaubenprojekt-frankfurt-arbeitsplaetze-und-das-projekt-erhalten	@	15	@		@		@		@	FRANKFURT
31	@		@	22941	@	Deutsche Wildtier Stiftung	@	Feldhamster in Not - (K)ein Bett in Kornfeld	@	https://www.betterplace.org/de/projects/22941-feldhamster-in-not-k-ein-bett-in-kornfeld	@	15	@		@		@		@	FRANKFURT
42	@		@	39898	@	Förderverein Hessischer Flüchtlingsrat e.V.	@	Hessischer Flüchtlingsrat - unabhängige und solidarische Flüchtlingsarbeit	@	https://www.betterplace.org/de/projects/39898-hessischer-fluechtlingsrat-unabhaengige-und-solidarische-fluechtlingsarbeit	@	10	@		@		@		@	FRANKFURT
33	@		@	19204	@	Stiftung Zuhören	@	Lilo Lausch - Zuhören verbindet	@	https://www.betterplace.org/de/projects/19204-lilo-lausch-zuhoeren-verbindet	@	4	@		@		@		@	FRANKFURT
34	@		@	66365	@	Lebensbrücke International Deutschland gGmbH	@	Gegen Kinderarmut in Deutschland: Kostenloses Frühstück für arme Kinder	@	https://www.betterplace.org/de/projects/66365-gegen-kinderarmut-in-deutschland-kostenloses-fruehstueck-fuer-arme-kinder	@	2	@		@		@	 	@	FRANKFURT
35	@		@	13971	@	Zoologische Gesellschaft Frankfurt von 1858 e.V.	@	Dschungelschule für bedrohte Orang-Utans	@	https://www.betterplace.org/de/projects/13971-dschungelschule-fuer-bedrohte-orang-utans	@	15	@		@		@		@	FRANKFURT
36	@	 	@	68895	@	Frankfurter Tafel e.V.	@	Ein Tafelmotor ist aus!	@	https://www.betterplace.org/de/projects/68895-ein-tafelmotor-ist-aus	@	2	@		@		@		@	FRANKFURT
37	@		@	9452	@	Frankfurter Institut für nachhaltige Entwicklung	@	Bienenretter - Die Biene als Botschafterin für nachhaltiges Handeln	@	https://www.betterplace.org/de/projects/9452-bienenretter-die-biene-als-botschafterin-fuer-nachhaltiges-handeln	@	15	@	13	@		@		@	FRANKFURT
38	@		@	15202	@	brotZeit e.V.	@	brotZeit e.V.	@	https://www.betterplace.org/de/projects/15202-brotzeit-e-v	@	2	@		@		@	 	@	FRANKFURT
39	@		@	77931	@	 Wildwiesen e.V.	@	Mehr Wildwiesen im Frankfurter Westen!	@	https://www.betterplace.org/de/projects/77931-mehr-wildwiesen-im-frankfurter-westen	@	13	@	15	@		@		@	FRANKFURT
40	@		@	79178	@	Frankfurter Arbeitsloseninitiative e. V.	@	Bürgerladen, das Sozialkaufhaus d. Frankfurter Arbeitsloseninitiative e.V.	@	https://www.betterplace.org/de/projects/79178-buergerladen-das-sozialkaufhaus-d-frankfurter-arbeitsloseninitiative-e-v	@	1	@		@		@		@	FRANKFURT
41	@		@	83363	@	 AIDS-Hilfe Frankfurt	@	Rainbow Refugees: unterstützt die LGBTIQ-Geflüchteten	@	https://www.betterplace.org/de/projects/83363-rainbow-refugees-unterstuetzt-die-lgbtiq-gefluechteten	@	16	@		@		@		@	FRANKFURT
42	@		@	64826	@	Protagon e.V.	@	Sommerwerft - Internationales Theaterfestival in Frankfurt am Main	@	https://www.betterplace.org/de/projects/64826-sommerwerft-internationales-theaterfestival-in-frankfurt-am-main	@	11	@		@		@		@	FRANKFURT
43	@		@	70388	@	Bridges - Musik verbindet gGmbH	@	Bridges - Musik verbindet	@	https://www.betterplace.org/de/projects/70388-bridges-musik-verbindet	@	11	@	16	@		@		@	FRANKFURT
44	@		@	61081	@	Kinder- & Jugendhospizdienst Frankfurt/Rhein-Main	@	Unterstützung des Kinder- und Jugendhospizdienst AKHD Frankfurt/Rhein-Main	@	https://www.betterplace.org/de/projects/61801-unterstuetzung-des-kinder-und-jugendhospizdienst-akhd-frankfurt-rhein-main	@	3	@		@		@		@	FRANKFURT
45	@		@	49726	@	Clementine Kinderhospital–Dr. Christ'sche Stiftung	@	Studie zur Erfassung des "Quality of Life" nach Schädel-Hirn-Trauma	@	https://www.betterplace.org/de/projects/49726-studie-zur-erfassung-des-quality-of-life-nach-schaedel-hirn-trauma	@	3	@		@		@		@	FRANKFURT
46	@		@	65717	@	Verein für soziale Arbeit im Stadtteil Bockenheim	@	Zeit für einen Tapetenwechsel - Ein neuer Start für Jugendliche in Not	@	https://www.betterplace.org/de/projects/65717-zeit-fuer-einen-tapetenwechsel-ein-neuer-start-fuer-jugendliche-in-not	@	3	@	1	@		@		@	FRANKFURT
37	@	 MUNCHEN	@	58697	@	"Die Arche" Kinderstiftung	@	Arche München – Kinder stark machen!	@	https://www.betterplace.org/de/projects/58697-arche-muenchen-kinder-stark-machen	@	4	@		@		@		@	MUNCHEN
48	@		@	75228	@	Tabaluga Kinderstiftung	@	Gong 96.3 Trixi Spiegel für München: Gemeinsam machen wir Abbiegen sicherer	@	https://www.betterplace.org/de/projects/75228-gong-96-3-trixi-spiegel-fuer-muenchen-gemeinsam-machen-wir-abbiegen-sicherer	@	9	@		@		@		@	MUNCHEN
49	@		@	63751	@	Münchner Flüchtlingsrat	@	münchner mentoren - Integration in München!	@	https://www.betterplace.org/de/projects/63751-muenchner-mentoren-integration-in-muenchen	@	10	@		@		@		@	MUNCHEN
50	@		@	69531	@	Tierschutzverein München e.V.	@	Unsere Wildtierstation braucht eure Hilfe!	@	https://www.betterplace.org/de/projects/69531-unsere-wildtierstation-braucht-eure-hilfe	@	15	@		@		@		@	MUNCHEN
51	@		@	35714	@	Initiative krebskranke Kinder München e.V	@	Krebs bei Kindern - wir helfen, hilf mit!	@	https://www.betterplace.org/de/projects/35714-krebs-bei-kindern-wir-helfen-hilf-mit	@	3	@		@		@		@	MUNCHEN
52	@		@	54396	@	AIDA e.V. (München)	@	St. Antons Kinder- und Jugendzentrum in Tanguá - RJ	@	https://www.betterplace.org/de/projects/54396-st-antons-kinder-und-jugendzentrum-in-tangua-rj	@	3	@		@		@		@	MUNCHEN 
