ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
107	@		@	80158	@	nürnberger burgtheater e.V.	@	Lachen im nürnberger burgtheater - für Kabarett auch nach Corona!	@	https://www.betterplace.org/de/projects/80158-lachen-im-nuernberger-burgtheater-fuer-kabarett-auch-nach-corona	@		@		@		@		@	NURNBERG
108	@		@	47258	@	DEGRIN - Begegnung und Bildung in Vielfalt e.V.	@	HEROES Nürnberg - Unterstütze Helden in ihrem Einsatz für Gleichstellung!	@	https://www.betterplace.org/de/projects/47258-heroes-nuernberg-unterstuetze-helden-in-ihrem-einsatz-fuer-gleichstellung	@	5	@	10	@		@		@	NURNBERG
109	@		@	58478	@	LOBBY FÜR KINDER e.V.	@	"1000+1 Buch" Leseförderprojekt für Nürnberger Grundschulen	@	https://www.betterplace.org/de/projects/58478-1000-1-buch-lesefoerderprojekt-fuer-nuernberger-grundschulen	@	4	@		@		@		@	NURNBERG
110	@		@	48867	@	TraumaHilfeZentrum Nürnberg e.V	@	Traumahilfe - kompetent und zeitnah	@	https://www.betterplace.org/de/projects/48867-traumahilfe-kompetent-und-zeitnah	@	3	@		@		@		@	NURNBERG
111	@		@	83449	@	Stiftung Deutschland im Plus	@	Gemeinsam engagiert gegen die Überschuldung junger Menschen	@	https://www.betterplace.org/de/projects/83449-gemeinsam-engagiert-gegen-die-ueberschuldung-junger-menschen	@	 	@		@		@		@	NURNBERG
112	@		@	67268	@	Freude für alle e.V.	@	Hilfe für Menschen in prekärer Wohnsituation	@	https://www.betterplace.org/de/projects/67268-hilfe-fuer-menschen-in-prekaerer-wohnsituation	@	 	@		@		@		@	NURNBERG
113	@		@	47469	@	Angehörigenberatung e.V. Nürnberg	@	"Sing ein Lied...! Chor für Menschen mit und ohne Demenz in Nürnberg	@	https://www.betterplace.org/de/projects/47469-sing-ein-lied-chor-fuer-menschen-mit-und-ohne-demenz-in-nuernberg	@	 	@		@		@		@	NURNBERG
114	@	HEIDELBERG	@	59625	@	GREEN FOREST FUND e.V	@	Spende Bäume für Natur und Tiere! Setz dich ein für die Urwälder von morgen	@	https://www.betterplace.org/de/projects/59625-spende-baeume-fuer-natur-und-tiere-setz-dich-ein-fuer-die-urwaelder-von-morgen	@	13	@	15	@	 	@		@	HEIDELBERG
115	@		@	74483	@	GREEN FOREST FUND e.V	@	Die Pflanzung eines Baumes in Deutschland für die Urwälder von morgen!	@	https://www.betterplace.org/de/projects/74483-die-pflanzung-eines-baumes-in-deutschland-fuer-die-urwaelder-von-morgen	@	13	@	15	@		@		@	HEIDELBERG
116	@		@	80975	@	CoMakingSpace Heidelberg	@	CoMakingSpace: Spenden für eine offene Werkstatt	@	https://www.betterplace.org/de/projects/80975-comakingspace-spenden-fuer-eine-offene-werkstatt	@	4	@	13	@	8	@		@	HEIDELBERG
117	@		@	75807	@	CVJM Heidelberg-Mitte e.V.	@	CVJM HD: Wir bekommen eigene Räume...	@	https://www.betterplace.org/de/projects/75807-cvjm-hd-wir-bekommen-eigene-raeume	@	4	@		@		@		@	HEIDELBERG
118	@		@	63586	@	GREEN FOREST FUND e.V	@	Lebensraum für Biene, Hummel, Schmetterling und Co.	@	https://www.betterplace.org/de/projects/63586-lebensraum-fuer-biene-hummel-schmetterling-und-co	@	13	@	15	@		@		@	HEIDELBERG
119	@		@	17312	@	Nationales Centrum für Tumorerkrankungen	@	Forschung fördern - Krebs besiegen!	@	https://www.betterplace.org/de/projects/17312-forschung-foerdern-krebs-besiegen	@	9	@	3	@		@		@	HEIDELBERG
120	@		@	34262	@	Netzwerk Chancen gestalten gemeinnützige UG	@	Chancen gestalten Heidelberg e.V.	@	https://www.betterplace.org/de/projects/34262-chancen-gestalten-heidelberg-e-v	@	8	@		@		@		@	HEIDELBERG
121	@		@	44552	@	Aktion für Krebskranke Kinder e.V. Heidelberg DLFH	@	Kinderplanet	@	https://www.betterplace.org/de/projects/44552-kinderplanet	@	3	@		@		@		@	HEIDELBERG
122	@		@	37704	@	Netzwerk Chancen gestalten gemeinnützige UG	@	Chancen Gestalten	@	https://www.betterplace.org/de/projects/37704-chancen-gestalten	@	4	@	8	@		@		@	HEIDELBERG
123	@		@	72281	@	Das Frühchen e.V. Heidelberg	@	Unterstützung für Das Frühchen e.V. Heidelberg	@	https://www.betterplace.org/de/projects/72281-unterstuetzung-fuer-das-fruehchen-e-v-heidelberg	@	3	@		@		@		@	HEIDELBERG
124	@		@	66466	@	Lebenshilfe Marktheidenfeld e.V.	@	50 Jahre Lebenshilfe Marktheidenfeld	@	https://www.betterplace.org/de/projects/66466-50-jahre-lebenshilfe-marktheidenfeld	@	4	@		@		@		@	HEIDELBERG
125	@		@	25181	@	Lichtblick Hasenbergl	@	Unterstütze unsere pädagogische Arbeit im Lichtblick Hasenbergl!	@	https://www.betterplace.org/de/projects/25181-unterstuetze-unsere-paedagogische-arbeit-im-lichtblick-hasenbergl	@	4	@		@		@		@	HEIDELBERG
126	@	 	@	59625	@	GREEN FOREST FUND e.V.	@	Spende Bäume für Natur und Tiere! Setz dich ein für die Urwälder von morgen	@	https://www.betterplace.org/de/projects/59625-spende-baeume-fuer-natur-und-tiere-setz-dich-ein-fuer-die-urwaelder-von-morgen	@	13	@		@		@		@	HEIDELBERG
127	@	MANNHEIM	@	12083	@	Aufwind-Mannheim	@	Aufwind-Mannheim	@	https://www.betterplace.org/de/projects/12083-aufwind-mannheim	@	1	@	4	@		@		@	MANNHEIM
128	@		@	61165	@	Malteser Hilfsdienst e.V., Mannheim	@	Malteser Medizin für Menschen ohne Krankenversicherung Mannheim	@	https://www.betterplace.org/de/projects/61165-malteser-medizin-fuer-menschen-ohne-krankenversicherung-mannheim	@	3	@		@		@		@	MANNHEIM
129	@		@	37289	@	ROCK YOUR LIFE! Mannheim e.V.	@	ROCK YOUR LIFE! Mannheim e.V.	@	https://www.betterplace.org/de/projects/37289-rock-your-life-mannheim-e-v	@	4	@		@		@		@	MANNHEIM
130	@		@	8954	@	Diakonisches Werk Mannheim	@	In Gemeinschaft schmeckt das Leben besser	@	https://www.betterplace.org/de/projects/8954-in-gemeinschaft-schmeckt-das-leben-besser	@	2	@	3	@		@		@	MANNHEIM
131	@		@	15685	@	Elternkreis Frühgeborene und kranke Neugeborene	@	Wenn das Leben viel zu früh beginnt...	@	https://www.betterplace.org/de/projects/15685-wenn-das-leben-viel-zu-frueh-beginnt	@	3	@		@		@		@	MANNHEIM
132	@		@	28357	@	Freundeskreis Christliche Schulen LU e.V.	@	Sportunterricht / Sporthalle für Grundschüler in Ludwigshafen	@	https://www.betterplace.org/de/projects/28357-sportunterricht-sporthalle-fuer-grundschueler-in-ludwigshafen	@	4	@		@		@		@	MANNHEIM
133	@		@	20723	@	Freifunk Rhein-Neckar e.V.	@	Freifunk Rhein-Neckar - Freies WLAN im Rhein-Neckar-Gebiet	@	https://www.betterplace.org/de/projects/20723-freifunk-rhein-neckar-freies-wlan-im-rhein-neckar-gebiet	@	4	@	9	@		@		@	MANNHEIM
134	@		@	60943	@	Duha e.V.	@	Spende für einen Schrebergarten für Menschen mit Behinderung	@	https://www.betterplace.org/de/projects/60943-spende-fuer-einen-schrebergarten-fuer-menschen-mit-behinderung	@	3	@	13	@		@		@	MANNHEIM
135	@		@	11667	@	Ideen³ e.V. // Räume für Entwicklung	@	Ideenwerkstatt von morgen (Bildungsagenten)	@	https://www.betterplace.org/de/projects/11667-ideenwerkstatt-von-morgen-bildungsagenten	@	4	@	13	@		@		@	MANNHEIM
136	@		@	36213	@	Ideen³ e.V. // Räume für Entwicklung	@	von morgen - Alles Gute auf einer Karte	@	https://www.betterplace.org/de/projects/36213-von-morgen-alles-gute-auf-einer-karte	@	4	@	13	@		@		@	MANNHEIM
137	@		@	22061	@	Stiftung LebensBlicke - Aktiv gegen Darmkrebs	@	Stiftung LebensBlicke - Aktiv gegen Darmkrebs	@	https://www.betterplace.org/de/projects/22061-stiftung-lebensblicke-aktiv-gegen-darmkrebs	@	3	@		@		@		@	MANNHEIM
138	@		@	19624	@	MediNetz Rhein-Neckar e.V.	@	Ermöglichen Sie illegalisierten Schwangeren sichere Entbindungen.	@	https://www.betterplace.org/de/projects/19624-ermoeglichen-sie-illegalisierten-schwangeren-sichere-entbindungen	@	3	@		@		@		@	MANNHEIM
139	@		@	71208	@	Hospiz Stuttgart	@	#Gloffawird - 1000 km Spendenlauf für das Kinderhospiz Stuttgart	@	https://www.betterplace.org/de/projects/71208-gloffawird-1000-km-spendenlauf-fuer-das-kinderhospiz-stuttgart	@	3	@		@		@		@	MANNHEIM
140	@		@	66979	@	Kinder- und Jugendzirkus Paletti e.V.	@	Im Zirkus fürs Leben lernen - Unterstütze die Arbeit des Zirkus Paletti!	@	https://www.betterplace.org/de/projects/66979-im-zirkus-fuers-leben-lernen-unterstuetze-die-arbeit-des-zirkus-paletti	@	4	@		@		@		@	MANNHEIM
141	@		@	61838	@	Jugendreiterhof Mannheim-Käfertal e.V.	@	Die Vereinspferde des Jugendreiterhofs benötigen deine Unterstützung!	@	https://www.betterplace.org/de/projects/61838-die-vereinspferde-des-jugendreiterhofs-benoetigen-deine-unterstuetzung	@	 	@		@		@		@	MANNHEIM
142	@		@	50457	@	Johanniter-Unfall-Hilfe eV, RV Ostwuerttemberg	@	Medical equipment for the team transport vehicle (MTW)	@	https://www.betterplace.org/de/projects/50457-medizinische-ausruestung-fuer-den-mannschafts-transportwagen-mtw	@	 	@		@		@		@	MANNHEIM
143	@	STUTTGART	@	46591	@	NABU Gruppe Stuttgart e. V	@	Ihre Spende für die Natur in Stuttgart	@	https://www.betterplace.org/de/projects/46591-ihre-spende-fuer-die-natur-in-stuttgart	@	13	@	15	@		@		@	STUTTGART
144	@		@	64150	@	Hospiz Stuttgart	@	Kinder- und Jugendhospiz Stuttgart	@	https://www.betterplace.org/de/projects/64150-kinder-und-jugendhospiz-stuttgart	@	3	@		@		@		@	STUTTGART
145	@		@	58146	@	Förderkreis krebskranke Kinder e.V. Stuttgart	@	Hilfe für krebskranke Kinder und ihre Familien	@	https://www.betterplace.org/de/projects/58146-hilfe-fuer-krebskranke-kinder-und-ihre-familien	@	3	@		@		@		@	STUTTGART
146	@		@	15047	@	Förderverein Häusl. Kinderkrankenpflege Stuttgart	@	Helfen Sie uns, kranken Kindern zu helfen!	@	https://www.betterplace.org/de/projects/15047-helfen-sie-uns-kranken-kindern-zu-helfen	@	3	@		@		@		@	STUTTGART
147	@		@	61501	@	Frauen helfen Frauen e.V. Stuttgart	@	Solidarisch mit Frauen und Kindern - für eine Zukunft ohne Gewalt!	@	https://www.betterplace.org/de/projects/61501-solidarisch-mit-frauen-und-kindern-fuer-eine-zukunft-ohne-gewalt	@	5	@		@		@		@	STUTTGART
148	@		@	80345	@	Wilhelma - Zoologisch-Botanischer Garten Stuttgart |	@	Dein Beitrag sichert die Zukunft der letzten Berggorillas	@	https://www.betterplace.org/de/projects/80345-dein-beitrag-sichert-die-zukunft-der-letzten-berggorillas	@	15	@	13	@		@		@	STUTTGART
149	@		@	82404	@	POEMA e.V. Stuttgart-Armut und Umwelt in Amazonien	@	POEMA e.V. Stuttgart - Armut und Umwelt in Amazonien, POEMA AG aus Langenau	@	https://www.betterplace.org/de/projects/82404-poema-e-v-stuttgart-armut-und-umwelt-in-amazonien-poema-ag-aus-langenau	@	1	@	13	@	6	@	Amazone	@	STUTTGART
150	@		@	74662	@	Universität Stuttgart, IBK	@	Bamboo School - Eine Schule für Rempek	@	https://www.betterplace.org/de/projects/74662-bamboo-school-eine-schule-fuer-rempek	@	4	@	9	@		@		@	STUTTGART
151	@		@	38071	@	Open Knowledge Foundation Deutschland	@	Für das Projekt Sensor.Community (ehemals Luftdaten.info) spenden	@	https://www.betterplace.org/de/projects/38071-fuer-das-projekt-sensor-community-ehemals-luftdaten-info-spenden	@	13	@		@		@		@	STUTTGART
152	@		@	13306	@	Olgäle-Stiftung für das kranke Kind e.V	@	Olgahospital - Rheumaschwester	@	https://www.betterplace.org/de/projects/13306-olgahospital-rheumaschwester	@	3	@		@		@		@	STUTTGART
153	@		@	23563	@	Stiftung Kinder fördern - Zukunft stiften	@	Stiftung Kinder fördern – Zukunft stiften	@	https://www.betterplace.org/de/projects/23563-stiftung-kinder-foerdern-zukunft-stiften	@	4	@		@		@		@	STUTTGART
154	@		@	48952	@	Caritasverband der Diözese Rottenburg-Stuttgart	@	Hilfe für Menschen, die kein Zuhause haben	@	https://www.betterplace.org/de/projects/48952-hilfe-fuer-menschen-die-kein-zuhause-haben	@	1	@	2	@	3	@		@	STUTTGART
155	@		@	54121	@	Waldorf 2019 e.V.	@	Waldorf 100 – Learn to change the world	@	https://www.betterplace.org/de/projects/54121-waldorf-100-learn-to-change-the-world	@	4	@	13	@		@		@	STUTTGART
156	@		@	56140	@	Laboratorium e.V. Stuttgart	@	Aus Alt mach neu! Renovierung Kulturzentrum Laboratorium Stuttgart	@	https://www.betterplace.org/de/projects/56140-aus-alt-mach-neu-renovierung-kulturzentrum-laboratorium-stuttgart	@	 	@		@		@		@	STUTTGART
157	@		@	60713	@	 Bürgerstiftung Stuttgart	@	Fußball verbindet – Ballspiel-Angebote für Geflüchtete	@	https://www.betterplace.org/de/projects/60713-fussball-verbindet-ballspiel-angebote-fuer-gefluechtete	@	 	@		@		@		@	STUTTGART
158	@		@	79125	@	Arbeiter-Samariter-Bund BW eV | Region ES	@	Rescue dogs of the ASB ... search & rescue in the district ES	@	https://www.betterplace.org/de/projects/79125-rettungshunde-des-asb-suchen-retten-im-kreis-es	@	 	@		@		@		@	STUTTGART
159	@		@	82997	@	 VCD Baden-Württemberg e.V.	@	Mobilitätswende für Baden-Württemberg	@	https://www.betterplace.org/de/projects/82997-mobilitaetswende-fuer-baden-wuerttemberg	@	8	@		@		@		@	STUTTGART
160	@		@	30225	@	Aktionsgemeinschaft Artenschutz (AGA) e.V.	@	Bitte helft mit, Rotfüchse in Deutschland zu schützen	@	https://www.betterplace.org/de/projects/30225-bitte-helft-mit-rotfuechse-in-deutschland-zu-schuetzen	@	 	@		@		@		@	STUTTGART
161	@	DUSSELDORF	@	78123	@	Aktion Deutschland Hilft - Das Bündnis	@	Corona Nothilfe weltweit	@	https://www.betterplace.org/de/projects/78123-corona-nothilfe-weltweit-aktion-deutschland-hilft	@	 	@		@		@		@	DUSSELDORF
162	@		@	36180	@	Diakonie Düsseldorf	@	Flüchtlingen in Düsseldorf helfen!	@	https://www.betterplace.org/de/projects/36180-fluechtlingen-in-duesseldorf-helfen	@	1	@		@		@		@	DUSSELDORF
163	@		@	54554	@	Freifunk Düsseldorf e.V.	@	Freies WLAN in Düsseldorf	@	https://www.betterplace.org/de/projects/54554-freies-wlan-in-duesseldorf	@	9	@		@		@		@	DUSSELDORF
164	@		@	78014	@	Diakonie Düsseldorf	@	Corona Nothilfe: Jetzt in Düsseldorf helfen	@	https://www.betterplace.org/de/projects/78014-corona-nothilfe-jetzt-in-duesseldorf-helfen	@	1	@		@		@		@	DUSSELDORF
165	@		@	31230	@	Diakonie Düsseldorf	@	Für Kinder da sein! Unterstützung für die Kitas der Diakonie Düsseldorf	@	https://www.betterplace.org/de/projects/31230-fuer-kinder-da-sein-unterstuetzung-fuer-die-kitas-der-diakonie-duesseldorf	@	4	@		@		@		@	DUSSELDORF
166	@		@	73351	@	Tierschutzverein Düsseldorf u.U.e.V. - 1873	@	Aktiver Tierschutz in der NRW-Landeshauptstadt - Tierheim Düsseldorf	@	https://www.betterplace.org/de/projects/73351-aktiver-tierschutz-in-der-nrw-landeshauptstadt-tierheim-duesseldorf	@	15	@		@		@		@	DUSSELDORF
167	@		@	8604	@	vision:teilen e.V.	@	GUTENACHTBUS: für Obdachlose in Düsseldorf	@	https://www.betterplace.org/de/projects/8604-gutenachtbus-fuer-obdachlose-in-duesseldorf	@	1	@		@		@	 	@	DUSSELDORF
168	@		@	13161	@	Diakonie Düsseldorf	@	Kinder stärken! Hilfe für Flüchtlingskinder	@	https://www.betterplace.org/de/projects/13161-kinder-staerken-hilfe-fuer-fluechtlingskinder	@	 	@		@		@		@	DUSSELDORF
169	@		@	71	@	Diakonie Düsseldorf	@	TrebeCafé für obdachlose Mädchen	@	https://www.betterplace.org/de/projects/73-trebecafe-fuer-obdachlose-maedchen	@	1	@	2	@		@		@	DUSSELDORF
170	@		@	2872	@	Kinder- und Jugendhospiz Regenbogenland	@	Das Kinder- und Jugendhospiz Regenbogenland in Düsseldorf	@	https://www.betterplace.org/de/projects/2872-das-kinder-und-jugendhospiz-regenbogenland-in-duesseldorf	@	3	@		@		@		@	DUSSELDORF
171	@		@	65197	@	Deutsche Stiftung für Gesundheitsinformation	@	Kompetenz statt Demenz - KsD	@	https://www.betterplace.org/de/projects/65197-kompetenz-statt-demenz-ksd	@	 	@		@		@		@	DUSSELDORF
172	@		@	42431	@	Diakonie Düsseldorf	@	Schutzraum für wohnungslose Mütter und ihre Kinder	@	https://www.betterplace.org/de/projects/42431-schutzraum-fuer-wohnungslose-muetter-und-ihre-kinder	@	 	@		@		@		@	DUSSELDORF
173	@		@	73505	@	Zonta Club Düsseldorf	@	Zonta Says No - Stoppt Gewalt gegen Frauen und Mädchen	@	https://www.betterplace.org/de/projects/73505-zonta-says-no-stoppt-gewalt-gegen-frauen-und-maedchen	@	 	@		@		@		@	DUSSELDORF
174	@		@	56102	@	BürgerStiftung Düsseldorf	@	Notgroschen für Senioren	@	https://www.betterplace.org/de/projects/56102-notgroschen-fuer-senioren	@	 	@		@		@		@	DUSSELDORF
175	@		@	27751	@	Dorfkirchen in Not e.V.	@	Sanierung weiterer Dorfkirchen	@	https://www.betterplace.org/de/projects/27751-sanierung-weiterer-dorfkirchen	@	 	@		@		@		@	DUSSELDORF
176	@		@	73079	@	Mentor – Die Leselernhelfer Düsseldorf e.V.	@	Lesen beflügelt	@	https://www.betterplace.org/de/projects/73079-lesen-befluegelt	@	4	@		@		@		@	DUSSELDORF
177	@		@	56885	@	Feuerwehrförderverein der FFW Dorf Mecklenburg	@	Feuerwehrförderverein der FFW Dorf Mecklenburg	@	https://www.betterplace.org/de/projects/56885-feuerwehrfoerderverein-der-ffw-dorf-mecklenburg	@	 	@		@		@		@	DUSSELDORF
178	@		@	60241	@	Ackerhelden machen Schule gGmbH	@	 Bildung wachsen lassen: Grüne Klassenzimmer an Kitas/Schulen in München	@	https://www.betterplace.org/de/projects/60241-bildung-wachsen-lassen-gruene-klassenzimmer-an-kitas-schulen-in-muenchen	@	  	@		@		@		@	DUSSELDORF
179	@		@	60088	@	Diakonie Düsseldorf	@	Respekt und Mut - Mit Freu(n)den verschieden sein!	@	https://www.betterplace.org/de/projects/60088-respekt-und-mut-mit-freu-n-den-verschieden-sein	@	 	@		@		@		@	DUSSELDORF
180	@	DORTMUND 	@	24700	@	Kana - Dortmunder Suppenküche e.V.	@	Kana Suppenküche für Obdachlose und Arme in Dortmund und Umgebung	@	https://www.betterplace.org/de/projects/24700-kana-suppenkueche-fuer-obdachlose-und-arme-in-dortmund-und-umgebung	@	2	@	1	@		@		@	DORTMUND
181	@		@	71878	@	Forum Dunkelbunt eV.	@	Ambulanter Kinder- und Jugendhospizdienst Löwenzahn Dortmund	@	https://www.betterplace.org/de/projects/71878-ambulanter-kinder-und-jugendhospizdienst-loewenzahn-dortmund	@	3	@		@		@		@	DORTMUND
182	@		@	78933	@	Diakonisches Werk Dortmund und Lünen gGmbH	@	Obdachlose Frauen und ihre Kinder in Dortmund brauchen Ihre Hilfe!	@	https://www.betterplace.org/de/projects/78933-obdachlose-frauen-und-ihre-kinder-in-dortmund-brauchen-ihre-hilfe	@	5	@		@		@		@	DORTMUND
183	@		@	74704	@	Frauen helfen Frauen e.V. Dortmund	@	Ihre Spende hilft, Frauen und ihre Kinder vor häuslicher Gewalt zu schützen	@	https://www.betterplace.org/de/projects/74704-ihre-spende-hilft-frauen-und-ihre-kinder-vor-haeuslicher-gewalt-zu-schuetzen	@	5	@		@		@		@	DORTMUND
184	@		@	68838	@	Dortmunder Tafel e.V.	@	Unterstützung für die Dortmunder Tafel e.V.	@	https://www.betterplace.org/de/projects/68838-unterstuetzung-fuer-die-dortmunder-tafel-e-v	@	2	@	1	@		@		@	DORTMUND
185	@		@	70827	@	Klinikum Dortmund gGmbH	@	Bike-Labyrinth für ältere Patienten - Virtuell gegen Demenz und Co.	@	https://www.betterplace.org/de/projects/70827-bike-labyrinth-fuer-aeltere-patienten-virtuell-gegen-demenz-und-co	@	3	@	9	@		@		@	DORTMUND
186	@		@	68805	@	bodo e.V.	@	Eine Anlaufstelle für Menschen in Not	@	https://www.betterplace.org/de/projects/68805-eine-anlaufstelle-fuer-menschen-in-not	@	1	@		@		@		@	DORTMUND
187	@		@	77976	@	bodo e.V.	@	bodo e.V. - Durch die Krise. #Coronahilfe	@	https://www.betterplace.org/de/projects/77976-bodo-e-v-durch-die-krise-coronahilfe	@	1	@		@		@		@	DORTMUND
188	@		@	76109	@	Dortmunder Mitternachtsmission e.V.	@	Spende für unsere Arbeit "Menschen handeln gegen Menschenhandel"	@	https://www.betterplace.org/de/projects/76109-spende-fuer-unsere-arbeit-menschen-handeln-gegen-menschenhandel	@	5	@	16	@		@		@	DORTMUND
189	@		@	9434	@	gemeinnützige CLIMB GmbH	@	Lernferien bei climb - clever lernen, immer motiviert bleiben!	@	https://www.betterplace.org/de/projects/9434-lernferien-bei-climb-clever-lernen-immer-motiviert-bleiben	@	4	@		@		@		@	DORTMUND
190	@		@	68619	@	Hilfe für Krankenhausbau in Ghana e.V.	@	Krankenhaus Ghana – Solidaritätsmedizin	@	https://www.betterplace.org/de/projects/68619-krankenhaus-ghana-solidaritaetsmedizin	@	3	@	9	@		@		@	DORTMUND
191	@		@	19547	@	Deutsche Fanconi-Anämie-Hilfe e.V.	@	Früherkennung von Krebstumoren - Deutsche Fanconi-Anämie-Hilfe e.V.	@	https://www.betterplace.org/de/projects/19547-frueherkennung-von-krebstumoren-deutsche-fanconi-anaemie-hilfe-e-v	@	3	@	9	@		@		@	DORTMUND
192	@		@	28974	@	Lost Voices Stiftung |	@	Unterstützung der Berliner Charité zur ME/CFS-Forschung	@	https://www.betterplace.org/de/projects/28974-unterstuetzung-der-berliner-charite-zur-me-cfs-forschung	@	3	@	9	@		@		@	DORTMUND
193	@		@	79570	@	Würde für Kinder e.V.	@	COVID-19: Nahrungsnothilfe und Schutz für extrem arme Kinder	@	https://www.betterplace.org/de/projects/79570-covid-19-nahrungsnothilfe-und-schutz-fuer-extrem-arme-kinder	@	1	@	3	@		@		@	DORTMUND
194	@		@	51052	@	OroVerde - Die Tropenwaldstiftung	@	Kichwa-Jugendliche schützen den Regenwald	@	https://www.betterplace.org/de/projects/51052-kichwa-jugendliche-schuetzen-den-regenwald	@	16	@	13	@		@		@	DORTMUND
195	@		@	81778	@	Haus der Hoffnung- Hilfe für Nepal e.V	@	Kampf dem durch den Lock-down bedingten Hunger in Nepal	@	https://www.betterplace.org/de/projects/81778-kampf-dem-durch-den-lock-down-bedingten-hunger-in-nepal	@	3	@	1	@		@		@	DORTMUND
196	@		@	43625	@	BILING e.V	@	Kultur- und Bildungsangebote für gehörlose Kinder erlebbar machen	@	https://www.betterplace.org/de/projects/43625-kultur-und-bildungsangebote-fuer-gehoerlose-kinder-erlebbar-machen	@	4	@		@		@	 	@	DORTMUND
197	@		@	24133	@	Gegen Noma - Parmed e.V.	@	Leben von Noma Kinder mit Antibiotika und Prävention retten!	@	https://www.betterplace.org/de/projects/24133-leben-von-noma-kinder-mit-antibiotika-und-praevention-retten	@	3	@	1	@		@		@	DORTMUND
198	@		@	54424	@	Gemeinsam TECHO e.V.	@	TECHO: Soziale Projekte in Lateinamerika und der Karibik	@	https://www.betterplace.org/de/projects/54424-techo-soziale-projekte-in-lateinamerika-und-der-karibik	@	4	@	9	@		@		@	DORTMUND
199	@		@	35454	@	Stiftung Aktion Knochenmarkspende Bayern	@	Ärmel hoch gegen Blutkrebs!	@	https://www.betterplace.org/de/projects/35454-aermel-hoch-gegen-blutkrebs	@	3	@		@		@		@	DORTMUND
200	@		@	70849	@	Dentists for Africa	@	Zahnärztliche Aufklärung und Behandlung für 1200 Kinder in Kenia	@	https://www.betterplace.org/de/projects/70849-zahnaerztliche-aufklaerung-und-behandlung-fuer-1200-kinder-in-kenia	@	2	@	3	@		@		@	DORTMUND
